trip_id,stop_id,trip_date,arrival_delay,route_id,sch_arrival_time,sch_departure_time,stop_sequence,stop_name,stop_lat,stop_lon,arrival_time,departure_delay,departure_time
13276234,116,11-22-2022,-356,6612,1669173431,1669173431,21,Westbound W 16 Ave @ Balaclava St,49.257904,-123.17458,1669173075,-356,1669173075
13276244,299,12-07-2022,-165,6612,1670483294,1670483294,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1670483129,-165,1670483129
13276138,130,11-22-2022,-119,6612,1669188929,1669188929,26,Southbound Mackenzie St @ W 37 Ave,49.238254,-123.170377,1669188810,-119,1669188810
13276138,130,11-23-2022,-111,6612,1669275329,1669275329,26,Southbound Mackenzie St @ W 37 Ave,49.238254,-123.170377,1669275218,-111,1669275218
13276234,116,12-07-2022,-420,6612,1670469431,1670469431,21,Westbound W 16 Ave @ Balaclava St,49.257904,-123.17458,1670469011,-420,1670469011
13276235,55,11-28-2022,-129,6612,1669694160,1669694160,23,Eastbound W 16 Ave @ Carnarvon St,49.257583,-123.17185,1669694031,-129,1669694031
13276234,116,11-30-2022,-118,6612,1669864631,1669864631,21,Westbound W 16 Ave @ Balaclava St,49.257904,-123.17458,1669864513,-118,1669864513
13339259,123,11-26-2022,-122,6612,1669504296,1669504296,22,Westbound W King Edward Ave @ Puget Dr,49.249627,-123.170432,1669504174,-122,1669504174
13276418,126,12-04-2022,-158,6612,1670147777,1670147777,24,Southbound Mackenzie St @ W 29 Ave,49.245848,-123.170308,1670147619,-158,1670147619
13276234,116,12-01-2022,-127,6612,1669951031,1669951031,21,Westbound W 16 Ave @ Balaclava St,49.257904,-123.17458,1669950904,-127,1669950904
13276229,111,11-29-2022,-136,6612,1669776266,1669776266,17,Southbound Macdonald St @ W 11 Ave,49.261885,-123.16835,1669776130,-136,1669776130
13276184,114,12-02-2022,-118,6612,1670021919,1670021919,19,Westbound W 16 Ave @ Macdonald St,49.257816,-123.168896,1670021801,-118,1670021801
